common_name,scientific_name,MLE_combined,MLE_male,MLE_female
"Lemur, Crowned",Eulemur coronatus,18.6,-,-
"Lemur, Mongoose",Eulemur mongoz,22.6,-,-
"Lemur, Mouse",Microcebus murinus,8.8,-,-
"Lemur, Red Ruffed",Varecia rubra,19.9,-,-
"Lemur, Ring-tailed",Lemur catta,16.7,-,-
"Leopard, Amur",Panthera pardus orientalis,18.1,-,-
"Leopard, Clouded",Neofelis nebulosa,13.1,-,-
"Leopard, Snow",Unica unica,15.1,-,-
Lion,Panthera leo,16.9,-,-
"Lizard, Chinese Crocodile",Shinisaurus crocodilurus,-,13.9,11.5
"Lizard, Rio Fuerte Beaded",Heloderma horridum exasperatum,-,28.6,22.3
"Lizars, Texas Horned",Phrynosoma cornutum,-,3.3,2.6
"Loris, Pygmy",Nycticebus pygmaeus,12.3,-,-
"Lynx, Canada",Lynx canadensis,14.8,-,-
"Macaque, Japanese",Macaca fuscata,-,18.5,23.8
"Macaque, Lion-tailed",Macaca silenus,26.6,-,-
"Macaque, Sulawesi",Macaca nigra,14.7,-,-
"Macaw, Hyacinth",Anodorhynchus hyacinthinus,25.1,-,-
"Magpie, Azure-winged",Cyanopica cyanus,10.2,-,-
"Magpie, Red-billed Blue",Urocissa erythrorhyncha,-,,11.3
Mandrill,Mandrillus sphinx,20.6,-,-
"Mangabey, Red-capped",Cercocebus torquatus,17.8,-,-
"Markhor, Turkmenian",Capra falconeri heptneri,8.6,-,-
"Marmoset, Geoffroy's",Callithrix geoffroyi,7.4,-,-
"Marmoset, Pygmy",Callithrix pygmaea,-,6.5,5.4
Meerkat,Suricata suricatta,9.8,-,-
"Merganser, Scaly-sided",Mergus squamatus,4.1,-,-
"Monkey, Bolivian Gray Titi",Callicebus donacophilus,-,-,10.9
"Monkey, Central American Spider (Geoffroy's)",Ateles goeffroyi,25.1,-,-
"Monkey, Common Squirrel",Saimiri sciureus,15.2,-,-
"Monkey, DeBrazza's",Cercopithecus neglectus,15,-,-
"Monkey, Diana",Cercopithecus diana,14.4,-,-
"Monkey, Patas",Erythrocebus patas,14.5,-,-
"Monkey, Robust Black Spider",Ateles fusciceps robustus,-,,26.3
"Monkey, Schmidt’s Red-tailed",Cercopithecus ascanius schmidti,16,-,-
"Monkey, Southern Black Howler",Alouatta caraya,17.8,-,-
Moose,Alces alces,-,6.1,8.9
"Motmot, Blue-crowned",Momotus momota,7.2,-,-
"Mouse, Perdido Key Beach",Peromyscus polionotus trissylepsis,3.4,-,-
"Murre, Common",Uria aalge,-,-,30.2
"Myna, Bali",Leucopsar rothschildi,9.9,-,-
"Mynah, Golden-crested",Ampeliceps coronatus,6,-,-
"Nyala, Lowland",Tragelaphus angasii,-,4.9,8.8
Ocelot,Leopardus pardalis,15.7,-,-
Okapi,Okapia johnstoni,16.4,-,-
"Orangutan, Bornean",Pongo pygmaeus,-,27.8,37.6
"Orangutan, Sumatran",Pongo abelii,-,25.4,33.5
"Oropendola, Crested",Psarocolius decumanus,7.1,-,-
"Oryx, Arabian",Oryx leucoryx,-,12.1,14.8
"Oryx, Fringe-eared",Oryx gazelle callotis,-,,12.6
"Oryx, Scimitar-horned",Oryx dammah,-,10.7,15.5
Ostrich,Struthio camelus,10.6,-,-
"Otter, Asian Small-clawed",Amblonyx cinereus,-,14.1,11.8
"Otter, North American River",Lontra canadensis,12.3,-,-
"Otter, Sea",Enhydra lutris kenyoni & E. l. nereis,14.5,-,-
"Owl, Burrowing",Athene cunicularia,7.5,-,-
