common_name,scientific_name,MLE_combined,MLE_male,MLE_female,status
"Oryx, Scimitar-horned",Oryx dammah,-,10.7,15.5,Endangered
Ostrich,Struthio camelus,10.6,-,-,Least Concern
"Otter, Asian Small-clawed",Amblonyx cinereus,-,14.1,11.8,Least Concern
"Otter, North American River",Lontra canadensis,12.3,-,-,Least Concern
"Otter, Sea",Enhydra lutris kenyoni & E. l. nereis,14.5,-,-,Least Concern
"Owl, Burrowing",Athene cunicularia,7.5,-,-,Least Concern
"Owl, Snowy",Nyctea scandiaca,10.2,-,-,Least Concern
"Panda, Red (fulgens)",Ailurus fulgens fulgens,10,-,-,Least Concern
"Panda, Red (styani)",Ailurus fulgens refulgens (styani),12,-,-,Least Concern
"Parrot, Hawk-headed",Deroptyus accipitrinus,-,,15.4,Least Concern
"Parrot, Thick-billed",Rhynchopsitta pachyrhyncha,13.2,-,-,Endangered
"Partridge, Crested Wood",Rollulus rouloul,4.9,-,-,Least Concern
"Peafowl, Congo",Afropavo congensis,-,7.9,,Least Concern
"Pelican, Great White",Pelicanus onocrotalus,10.4,-,-,Least Concern
"Pelican, Pink-backed",Pelecanus rufescens,13.1,-,-,Least Concern
"Penguin, Adelie",Pygoscelis adeliae,17.9,-,-,Least Concern
"Penguin, African",Speniscus demersus,-,21.8,18.3,Least Concern
"Penguin, Chinstrap",Pygoscelis antarctica,-,25.1,,Least Concern
"Penguin, Gentoo (ellsworthi)",Pygoscelis papua ellsworthi,27.9,-,-,Least Concern
"Penguin, Gentoo (papua)",Pygoscelis papua papua,29.9,-,-,Least Concern
"Penguin, Humboldt",Spheniscus humboldti,17.6,-,-,Threatened
"Penguin, King",Aptenodytes patagonicus,26,-,-,Least Concern
"Penguin, Macaroni",Eudyptes chrysolophus,26.3,-,-,Least Concern
"Penguin, Magellanic",Spheniscus magellanicus,10.1,-,-,Least Concern
"Penguin, Northern & Southern Rockhopper(Combined)",Eudyptes chrysocome,-,23.7,28.6,Threatened
"Pheasant, Palawan Peacock",Polyplectron napoleonis,-,8.4,6.4,Least Concern
"Pigeon, Green-naped Pheasant",Otidiphaps nobilis,-,7.9,,Least Concern
"Pigeon, Nicobar",Caloenas nicobarica,-,17.1,12,Least Concern
"Pigeon, Victoria Crowned",Goura victoria,11.1,-,-,Least Concern
"Pigeon, Western (Blue) Crowned",Goura cristata,7.7,-,-,Least Concern
"Pitta, Hooded",Pitta sordida,3.2,-,-,Least Concern
"Porcupine, Cape",Hystrix africaeaustralis,14.5,-,-,Least Concern
"Porcupine, North American",Erethizon dorsatum,7.1,-,-,Least Concern
"Porcupine, Prehensile-tailed",Coendou prehensilis,10.9,-,-,Least Concern
"Pudu, Chilean",Pudu puda,7.7,-,-,Least Concern
"Puffin, Atlantic",Fratercula arctica,14.8,-,-,Least Concern
"Puffin, Tufted",Fratercula cirrhata,13.6,-,-,Least Concern
Puma,Puma concolor,-,13.6,16,Least Concern
"Python, Reticulated",Python reticulatus,11,-,-,Least Concern
"Quoll, Tiger",Dasyurus maculatus,5,-,-,Least Concern
"Rail, Guam",Gallirallus owstoni,-,9.6,5.7,Least Concern
"Rattlesnake, Eastern Massasauga",Sistrurus catenatus catenatus,9.4,-,-,Least Concern
"Rattlesnake, Mexican Lance-headed",Crotalus polystictus,8,-,-,Least Concern
"Rhea, Greater",Rhea americana,7.8,-,-,Least Concern
"Rhinoceros, Eastern Black",Diceros bicornis michaeli,19,-,-,Least Concern
"Rhinoceros, Greater One-horned",Rhinoceros unicornis,30.2,-,-,Endangered
"Rhinoceros, Southern White",Cerathotherium simum,31.4,-,-,Least Concern
Ringtail,Bassariscus astutus,11.1,-,-,Least Concern
"Roller, Blue-bellied",Coracias cyanogaster,8.9,-,-,Least Concern
"Saki, White-faced",Pithecia pithecia,-,,11.6,Least Concern
"Screamer, Southern",Chauna torquata,13.6,-,-,Least Concern
"Sea Lion, California",Zalophus californianus,23.3,-,-,Least Concern
"Seal, Grey",Halichoerus grypus,18.8,-,-,Least Concern
"Seal, Harbor",Phoca vitulina,24.8,-,-,Least Concern
"Seriema, Red-legged",Cariama cristata,17.9,-,-,Least Concern
Serval,Leptailurus serval,13.2,-,-,Least Concern
"Shark, Sand Tiger",Carcharias taurus,21.4,-,-,Least Concern
"Sheep, Desert Bighorn",Ovis canadensis nelsoni,-,,10.3,Endangered
Siamang,Symphalangus syndactylus,27,-,-,Endangered
"Sifaka, Coquerel's",Propithecus coquereli,-,10.7,,Least Concern
Sitatunga,Tragelaphus spekii,-,5.4,7.7,Least Concern
"Skink, Prehensile-tailed",Corucia zebrata,-,15.5,11.5,Least Concern
"Sloth, Hoffman's Two-toed",Choleopus hoffmanni,15.2,-,-,Least Concern
"Sloth, Linne's Two-toed",Choleopus didactylus,16,-,-,Least Concern
"Snake, Eastern Indigo",Drymarchon couperi,11.4,-,-,Least Concern
"Snake, Louisiana Pine",Pituophis ruthveni,16.4,-,-,Threatened
"Spider, Sapphire Ornamental Spider",Poecilotheria metallica,13.1,-,-,Least Concern
"Spoonbill, Roseate",Ajaia ajaja,-,12,9.8,Least Concern
"Springbok, South African",Antidorcas marsupialis,-,4.4,6.6,Least Concern
"Squirrel, Prevost's",Callosciurus prevostii,7.6,-,-,Least Concern
"Starling, Emerald",Coccycolius iris,-,9.6,6.9,Least Concern
"Starling, Golden-breasted",Cosmopsarus regius,8,-,-,Least Concern
"Starling, Grosbeak",Scissirostrum dubium,6.5,-,-,Least Concern
"Starling, Violet-backed (Amethyst)",Cinnyricinclus leucogaster,7.3,-,-,Least Concern
Steenbok,Raphicerus campestris,5.7,-,-,Least Concern
"Stilt, Black-necked",Himantopus mexicanus,-,12.9,,Least Concern
"Stingray, Ocellated River",Potamotrygon motoro,6.5,-,-,Least Concern
"Stingray, White-blotched River",Potamotrygon leopoldi,6.4,-,-,Least Concern
"Stork, European White",Ciconia ciconia ciconia,-,17.3,12.8,Least Concern
"Stork, Marabou",Leptoptilos crumenifer,-,18.4,9.7,Least Concern
"Stork, Painted",Mycteria leucocephala,10.9,-,-,Least Concern
"Stork, Saddle-billed",Ephippiorhynchus senegalensis,11.4,-,-,Least Concern
"Stork, Yellow-billed",Mycteria ibis,11,-,-,Least Concern
Sunbittern,Eurypyga helias,-,16.7,12.2,Least Concern
"Swan, Coscoroba",Coscoroba coscoroba,9.7,-,-,Least Concern
"Swan, Trumpeter",Cygnus buccinator,11.3,-,-,Least Concern
"Takin, Sichuan",Budorcas taxicolor tibetana,-,12.4,,Least Concern
"Tamandua, Southern",Tamandua tetradactyla,-,,9.2,Least Concern
"Tamarin, Bearded Emperor",Saguinus imperator subgrisescens,7.8,-,-,Least Concern
"Tamarin, Cotton-top",Saguinus oedipus,12.2,-,-,Endangered
"Tamarin, Golden-headed Lion",Leontopithecus chrysomelas,11.6,-,-,Least Concern
"Tamarin, Pied",Sanguinus bicolor,10.6,-,-,Least Concern
"Tanager, Blue-grey",Thraupis episcopus,4.7,-,-,Least Concern
"Tanager, Silver-beaked",Ramphocelus carbo,5,-,-,Least Concern
"Tanager, Turquoise",Tangara mexicana,3.3,-,-,Least Concern
"Tapir, Malayan (Asian)",Tapirus indicus,-,20.4,12.1,Endangered
"Tarantula, Mexican Red-kneed",Brachypelma smithi,-,,17.2,Least Concern
"Teal, Marbled",Marmaronetta angustirostris,-,5.8,5.1,Least Concern
"Tenrec, Lesser Madagascar Hedgehog",Echinops telfairi,-,8.4,7.3,Least Concern
"Tern, Inca",Larosterna inca,9.6,-,-,Least Concern
"Terrapin, Painted",Batagur borneoensis,14.7,-,-,Least Concern
"Thursh, Common Shama",Copsychus malabaricus,-,5.3,4.4,Least Concern
"Tiger, Amur (Siberian)",Panthera tigris altaica,-,16,14.3,Least Concern
"Tiger, Malayan",Panthera tigris jacksoni,16.1,-,-,Least Concern
"Tiger, Sumatran",Panthera tigris sumatrae,18.4,-,-,Least Concern
"Tinamou, Elegant Crested",Eudromia elegans,-,3.8,2.9,Least Concern
"Toad, Houston",Bufo (Anaxyrus) houstonensis,-,5.4,4.7,Least Concern
